 TML TPD TAP GML GPD GAP EML EPD EAP WML WPD WAP
84 -5.821201724516791 680.8679315283541 148.36014351326693 -249.79106215258653 130.15364792997056 73.09282371607861 -7.632269206607209 -39.87965519931602 0.8836323642983963 -12.909259490305015 -23.94060407561693 7.281374357552604
85 -5.787821245125957 680.9093223253337 148.30245257398252 -250.97060981905207 131.30699271986913 73.66590472168673 -7.823099453826083 -40.0243630163123 0.9600844095643097 -13.159661026857954 -24.552495004334588 7.481870591066492
86 -5.830672006833399 681.5233287802602 148.35713828587453 -251.11070490281563 132.11505523607602 74.13287933456837 -7.967933906285097 -40.28719193720984 1.0205151581761847 -13.458008431184915 -25.333100050908158 7.702253314401501
87 -5.863904229076411 682.5311985000451 148.35309362243984 -251.59738140876095 133.03642097722047 74.69305299018563 -8.169652742677652 -40.51623716387614 1.0960517369191987 -13.799744291936436 -26.193307198467377 7.965355797207004
88 -5.924839379444264 683.6887091294851 148.33700024993252 -252.19779488847243 134.06233919839127 75.31641385587238 -8.403084171966233 -40.85095459874253 1.1979833046824089 -14.218305912105764 -27.22195437777593 8.275624031793491
89 -6.033672558688324 684.9607012307594 148.3720778645802 -253.15072571512349 135.28542672696227 76.02299170009218 -8.679937030258818 -41.32044248970558 1.3480180222799278 -14.722222548126858 -28.406200545242335 8.615619428674414
90 -6.201769936571681 686.2106403570938 148.48790690809042 -254.47835595606116 136.6801760132753 76.77999776090542 -9.030007639176139 -41.81166192387254 1.3353557039382764 -15.375374847602503 -29.93831260974961 9.062730503474741
91 -6.324239636232724 688.91945145661 148.8901374177206 -256.129772912325 138.19047665094993 77.52823473987799 -9.410389648968541 -42.38605921213005 1.4020326730066337 -16.024452781504923 -31.53490656592393 9.567386122472268
92 -6.448143246075437 691.7993366460837 149.3836155652924 -258.1158549881017 139.73192209602345 78.23257410202842 -9.806814054037131 -42.92991339053945 1.4014645083392079 -16.759403767605395 -33.0605167440078 10.00019062605564
93 -6.5630909992198125 694.5116883928866 149.88450326742398 -260.73546751323306 141.38444858972767 78.97680270880463 -10.167031584370921 -43.43655900581997 1.3998684307019111 -17.41481062511439 -34.335522254984184 10.353616858289413
94 -6.676755232807867 697.0383404543493 150.39739899578163 -263.85680538187063 143.04633447184622 79.7191268349838 -10.469380696695145 -43.88756479147401 1.2888766352658658 -17.948258909965595 -35.65474416073427 10.710776796803147
95 -6.809730217684756 699.6224047694609 150.9824826912844 -267.41599503178804 144.70453229321328 80.45478061259823 -10.657688247192736 -44.25919150303951 1.2399224007198901 -18.260690491031063 -36.29946574232851 10.898485352569995
96 -6.960266922603094 702.2136394941676 151.63851868138147 -271.28084791681516 146.34723267428825 81.1864248221402 -10.716309245390784 -44.57974551507648 1.2475480763871074 -18.355068441388003 -36.304050456068026 10.920227032080081
97 -7.095816636893738 704.4465209277934 152.35083769299715 -274.89765871640856 147.8998717638304 81.79416140287987 -10.632807294976029 -44.89410126802881 1.3160384760484396 -18.243389527650947 -35.70242032990451 10.779013045513977
98 -7.198250987306999 706.118442156309 153.08993119994398 -277.9944802172003 149.32349177529522 82.24213044649903 -10.407267271674813 -45.214949598830515 1.4552323665127922 -17.921811298256145 -34.47750220010901 10.471663312557594
